anime_id,title,source,rating,score,scored_by,premiered,studio
30347,nanatsu no taizai ova,manga,pg-13 - teens 13 or older,7.77,34252,unknown,a-1 pictures
14249,ribbon no kishi (1999),unknown,g - all ages,6.14,54,unknown,
18893,aoki hagane no arpeggio: ars nova,manga,pg-13 - teens 13 or older,7.5,48992,fall 2013,sanzigen
35334,classicaloid 2nd season,original,pg-13 - teens 13 or older,6.47,855,fall 2017,sunrise
3164,ichigo ichie: koibana tomobana,unknown,g - all ages,6.81,48,fall 2007,
2199,chirin no suzu,picture book,pg-13 - teens 13 or older,7.17,2361,unknown,sanrio
515,hajimari no boukensha-tachi: legend of crystania,unknown,pg-13 - teens 13 or older,6.12,1466,unknown,triangle staff
33907,magical music train,music,g - all ages,4.7,75,unknown,
238,rekka no honoo,manga,pg-13 - teens 13 or older,7.42,18254,summer 1997,studio pierrot
5990,cosmic fantasy: ginga mehyou no wana,game,pg-13 - teens 13 or older,5.63,135,unknown,
27989,hibike! euphonium,novel,pg-13 - teens 13 or older,8.02,94024,spring 2015,kyoto animation
36838,gintama.: shirogane no tamashii-hen,manga,pg-13 - teens 13 or older,8.85,14981,winter 2018,bandai namco pictures
1200,gun-dou musashi,original,pg-13 - teens 13 or older,6.06,476,spring 2006,acc production
32644,yaseruyagi,original,g - all ages,4.03,36,unknown,
2769,galactic patrol lensman,unknown,pg-13 - teens 13 or older,6.49,113,fall 1984,madhouse
24031,denki-gai no honya-san,manga,pg-13 - teens 13 or older,7.27,34590,fall 2014,shin-ei animation
37421,maxvalu kyushu,original,g - all ages,5,16,unknown,
3975,uchi no 3 shimai,other,g - all ages,6.66,38,spring 2008,"toei animation, daewon media"
22839,cross road,original,g - all ages,7.5,18944,unknown,
10935,hourou musuko specials,manga,pg-13 - teens 13 or older,7.7,2401,unknown,aic classic
37711,koi to uso ova,manga,pg-13 - teens 13 or older,0,1,unknown,lidenfilms
9880,esper mami: hoshizora no dancing doll,unknown,g - all ages,6.16,86,unknown,shin-ei animation
37435,carol & tuesday,original,none,0,0,spring 2019,bones
14007,"akai shouzou: char, soshite frontal e",unknown,pg-13 - teens 13 or older,6.24,220,unknown,sunrise
17147,gakkatsu! 2nd season,unknown,g - all ages,6.5,308,winter 2013,fanworks
33885,hane (2016),music,g - all ages,5.68,106,unknown,
3232,bannou bunka neko-musume specials,unknown,pg-13 - teens 13 or older,6.61,433,unknown,production reed
10250,ultra b,manga,g - all ages,6.05,50,spring 1987,shin-ei animation
15771,saint☆oniisan (movie),manga,pg-13 - teens 13 or older,7.94,20831,unknown,a-1 pictures
3675,andromeda stories,manga,pg-13 - teens 13 or older,5.97,318,unknown,toei animation
1396,future gpx cyber formula: early days renewal,unknown,pg-13 - teens 13 or older,6.48,88,unknown,sunrise
2687,gokuu no daibouken,unknown,g - all ages,6.49,83,winter 1967,mushi production
29543,kitty to daniel no suteki na christmas,unknown,g - all ages,5.91,11,unknown,
34350,alice to zouroku,manga,pg-13 - teens 13 or older,7.2,27215,spring 2017,j.c.staff
36982,micchiri neko,web manga,g - all ages,6.84,1228,winter 2018,helo.inc
534,slayers,light novel,pg-13 - teens 13 or older,7.85,42588,spring 1995,e&amp
32032,seikaisuru kado,original,pg-13 - teens 13 or older,7.01,25496,spring 2017,toei animation
30694,dragon ball super,manga,pg-13 - teens 13 or older,7.78,102780,summer 2015,toei animation
988,shinshaku sengoku eiyuu densetsu: sanada juu yuushi the animation,unknown,pg-13 - teens 13 or older,6.28,131,spring 2005,"group tac, g&amp;g entertainment"
29389,shiro hon,unknown,g - all ages,6,8,spring 2007,
14355,yama no susume,manga,g - all ages,6.82,14762,s manga series of the same title.,
10197,nyanpire the animation,manga,g - all ages,6.78,11034,summer 2011,gonzo
15279,kira kira 5th anniversary live anime: kick start generation,visual novel,g - all ages,6.57,579,unknown,silver link.
32621,pokopon no yukai na saiyuuki,original,g - all ages,5.85,13,unknown,
10588,persona 4 the animation,game,pg-13 - teens 13 or older,7.63,76059,fall 2011,aic a.s.t.a.
6922,fate/stay night movie: unlimited blade works,visual novel,pg-13 - teens 13 or older,7.53,77292,unknown,studio deen
33600,menghuan xiyou,game,pg-13 - teens 13 or older,6.56,9,unknown,
4851,lupin iii: seven days rhapsody,unknown,pg-13 - teens 13 or older,7.13,1192,unknown,tms entertainment
10627,ski jumping pairs: road to torino 2006,unknown,g - all ages,4.89,122, the excellence prize at the 7th japan media arts festival (2003) and the special award winner at the 2005 tokyo international film festival.,
15211,nazotoki-hime wa meitantei♥,manga,g - all ages,5.43,14,unknown,synergysp
13965,thermae romae x loft collaboration,unknown,pg-13 - teens 13 or older,6.1,112,unknown,dle
6702,fairy tail,manga,pg-13 - teens 13 or older,8.08,423745,fall 2009,"satelight, a-1 pictures"
34975,marvel future avengers,other,pg - children,5.09,34,summer 2017,madhouse
18071,chalk-iro no people,unknown,pg-13 - teens 13 or older,5.75,8,unknown,
19841,super seisyun brothers,web manga,pg-13 - teens 13 or older,6.93,10578,fall 2013,aic plus+
5199,seto no hanayome fan disc,manga,pg-13 - teens 13 or older,7.18,1708,unknown,gonzo
33274,onara gorou,original,pg - children,5.62,2571,summer 2016,ilca
35138,taikong lixianji,original,g - all ages,5.67,6,winter 2010,
21267,go! go! 575,game,pg-13 - teens 13 or older,5.72,4795,winter 2014,"c2c, lay-duce"
36289,daybreak interlude,game,g - all ages,7.12,407,unknown,
9546,shirahata no shoujo ryuuko,unknown,none,7.05,20,unknown,
35314,"busou shoujo machiavellianism: doki! ""goken-darake"" no ian ryokou",manga,pg-13 - teens 13 or older,6.9,4685,unknown,silver link.
34476,platonic chain: ansatsu jikkouchuu,novel,pg-13 - teens 13 or older,3.6,10,unknown,
7082,shugo chara! party!,manga,pg - children,6.71,23040,fall 2009,satelight
3335,haikara-san ga tooru,manga,pg-13 - teens 13 or older,7.37,318,summer 1978,nippon animation
8879,dolphin ouji,unknown,g - all ages,5.48,25,spring 1965,
22493,pochacco no jack to mame no ki,unknown,g - all ages,5.92,36,unknown,
2710,nintama rantarou movie,unknown,g - all ages,6.64,93,unknown,ajia-do
594,naruto: takigakure no shitou - ore ga eiyuu dattebayo!,manga,pg-13 - teens 13 or older,6.84,35543,unknown,studio pierrot
23229,meshimase lodoss-tou senki: sorette oishii no?,unknown,pg-13 - teens 13 or older,5.71,185,spring 2014,"studio deen, studio hibari"
2520,dragon ball specials,manga,pg - children,6.91,9271,unknown,toei animation
20087,treasure gaust,unknown,pg-13 - teens 13 or older,4.58,24,spring 2007,synergysp
34779,ar:piel - 6-seosgaeui unmyeong,game,g - all ages,0,0,unknown,
4130,petit eva: evangelion@school,original,g - all ages,5.91,7131,unknown,"xebec, kanaban graphics"
1479,city hunter: kinkyuu namachuukei!? kyouakuhan saeba ryou no saigo,unknown,pg-13 - teens 13 or older,7.55,1317,unknown,sunrise
27727,binan koukou chikyuu boueibu love!,original,pg-13 - teens 13 or older,7.05,20905,winter 2015,diomedea
25461,tatamp,unknown,g - all ages,5.24,181,unknown,
16780,gongnyong baengmannyeon ttori,unknown,none,4.14,14,unknown,
2617,ghiblies,original,pg - children,6.57,1696,unknown,studio ghibli
33094,www.working!!,web manga,pg-13 - teens 13 or older,7.55,39360,fall 2016,a-1 pictures
31309,balloon,original,g - all ages,5.04,224,unknown,
